Name,Editor(Develop),Editor(Release),Mono(Develop),Mono(Release),IL2CPP(Develop),IL2CPP(Release)
MethodBasePerformanceTest.InvokeClassInstance_MethodPointer_ArgUpCastFromStruct,11.56653,6.179321,6.811066,6.607758,4.980469,4.384766
MethodBasePerformanceTest.InvokeClassInstance_MethodPointer_ResultDownCast,8.904236,5.58197,5.476105,6.055237,3.263672,2.814453
MethodBasePerformanceTest.InvokeClassInstance_MethodPointer_ResultDownCastToStruct,8.872437,5.539917,5.463852,6.004288,3.179688,2.748047
MethodBasePerformanceTest.InvokeClassInstance_MethodPointer_ResultUpCast,0.3892822,0.3110962,0.323288,0.2494202,0.3339844,0.2832031
MethodBasePerformanceTest.InvokeClassInstance_MethodPointer_ResultUpCastFromStruct,11.00787,6.811462,7.601395,7.23616,5.472656,4.888672
MethodBasePerformanceTest.InvokeClassInstance_MethodPointer_Virtual,2.076294,0.461792,0.4093781,0.4577637,0.7109375,0.6289063
MethodBasePerformanceTest.InvokeStatic_Delegate,0.09643555,0.02734375,0.0333252,0.04013062,0.03125,0.0234375
MethodBasePerformanceTest.InvokeStatic_Fast,1.262817,0.2875366,0.240387,0.2815857,0.296875,0.3085938
MethodBasePerformanceTest.InvokeStatic_Fast_ArgDownCast,3.914124,0.928772,0.8286133,0.868042,1.324219,1.316406
MethodBasePerformanceTest.InvokeStatic_Fast_ArgDownCastToStruct,8.598572,4.848389,4.639587,4.811035,2.871094,2.769531
MethodBasePerformanceTest.InvokeStatic_Fast_ArgUpCast,1.595642,0.5522461,0.4837341,0.4758911,0.5722656,0.5546875
MethodBasePerformanceTest.InvokeStatic_Fast_ArgUpCastFromStruct,9.625854,4.895447,4.664703,5.074524,4.1875,4.152344
MethodBasePerformanceTest.InvokeStatic_Fast_ResultDownCast,8.470947,4.267883,4.054443,4.553375,3.019531,2.570313
MethodBasePerformanceTest.InvokeStatic_Fast_ResultDownCastToStruct,8.312134,4.253479,4.031372,4.508484,2.949219,2.535156
MethodBasePerformanceTest.InvokeStatic_Fast_ResultUpCast,1.599243,0.5571899,0.4797668,0.4775696,0.5742188,0.5625
MethodBasePerformanceTest.InvokeStatic_Fast_ResultUpCastFromStruct,10.92542,5.523621,5.336639,5.754303,4.675781,4.660156
MethodBasePerformanceTest.InvokeStatic_FunctionPointer,0.09747314,0.02679443,0.02520752,0.03570557,0.0234375,0.01953125
MethodBasePerformanceTest.InvokeStatic_Legacy,5.197144,4.001404,3.869812,4.164734,1.865234,1.8125
MethodBasePerformanceTest.InvokeStatic_LowAlloc,9.173828,4.970764,4.924011,5.292847,4.197266,4.226563
MethodBasePerformanceTest.InvokeStatic_MethodPointer,0.1411743,0.034729,0.04116821,0.05160522,0.04296875,0.03125
MethodBasePerformanceTest.InvokeStatic_MethodPointer_ArgDownCast,2.657104,0.6842651,0.6068115,0.5991821,1.179688,1.039063
MethodBasePerformanceTest.InvokeStatic_MethodPointer_ArgDownCastToStruct,7.413391,4.620911,4.362244,4.711609,2.886719,2.5
MethodBasePerformanceTest.InvokeStatic_MethodPointer_ArgUpCast,0.4133301,0.3141479,0.2853699,0.2436523,0.3398438,0.28125
MethodBasePerformanceTest.InvokeStatic_MethodPointer_ArgUpCastFromStruct,8.294373,4.560059,4.35672,4.688019,4.414063,3.890625
MethodBasePerformanceTest.InvokeStatic_MethodPointer_ResultDownCast,7.022888,3.969543,3.867279,4.301788,2.675781,2.3125
MethodBasePerformanceTest.InvokeStatic_MethodPointer_ResultDownCastToStruct,7.007629,3.942749,3.791321,4.225555,2.585938,2.269531
MethodBasePerformanceTest.InvokeStatic_MethodPointer_ResultUpCast,0.4088745,0.3101196,0.2815857,0.2353821,0.3242188,0.2851563
MethodBasePerformanceTest.InvokeStatic_MethodPointer_ResultUpCastFromStruct,9.436523,5.200745,5.048096,5.383301,5.542969,4.347656
MethodBasePerformanceTest.InvokeStructInstance_Delegate,0.07434082,0.019104,0.02398682,0.02490234,0.01171875,0.0078125
MethodBasePerformanceTest.InvokeStructInstance_Fast,1.641296,0.3782959,0.3543701,0.4058533,0.34375,0.3242188
MethodBasePerformanceTest.InvokeStructInstance_Fast_ArgDownCast,5.634827,1.762512,1.670547,1.720779,1.935547,1.712891
MethodBasePerformanceTest.InvokeStructInstance_Fast_ArgDownCastToStruct,12.25098,7.500977,7.10733,7.869644,4.455078,3.900391
MethodBasePerformanceTest.InvokeStructInstance_Fast_ArgUpCast,1.879517,0.647522,0.550293,0.5554504,0.65625,0.5644531
MethodBasePerformanceTest.InvokeStructInstance_Fast_ArgUpCastFromStruct,13.06537,7.553894,7.271835,8.130173,6.013672,5.226563
MethodBasePerformanceTest.InvokeStructInstance_Fast_ResultDownCast,12.06592,6.790527,6.607697,7.539291,4.259766,3.734375
MethodBasePerformanceTest.InvokeStructInstance_Fast_ResultDownCastToStruct,11.66498,6.756042,6.627945,7.45015,4.173828,3.658203
MethodBasePerformanceTest.InvokeStructInstance_Fast_ResultUpCast,1.932251,0.6228638,0.5495605,0.5711365,0.6601563,0.5605469
MethodBasePerformanceTest.InvokeStructInstance_Fast_ResultUpCastFromStruct,14.26324,8.196106,7.923859,8.635376,6.449219,5.779297
MethodBasePerformanceTest.InvokeStructInstance_Fast_Virtual,10.71301,7.015259,6.687073,7.384476,3.279297,3.158203
MethodBasePerformanceTest.InvokeStructInstance_FunctionPointer,0.05102539,0.01239014,0.01831055,0.01739502,0.009765625,0.0078125
MethodBasePerformanceTest.InvokeStructInstance_Legacy,7.387207,6.300781,5.977371,6.402222,3.041016,2.625
MethodBasePerformanceTest.InvokeStructInstance_LowAlloc,12.13104,7.743347,7.385849,7.996857,5.962891,5.359375
MethodBasePerformanceTest.InvokeStructInstance_MethodPointer,0.1108398,0.0269165,0.02966309,0.03718567,0.02539063,0.02539063
MethodBasePerformanceTest.InvokeStructInstance_MethodPointer_ArgDownCast,4.457764,1.538147,1.446274,1.464203,1.421875,1.460938
MethodBasePerformanceTest.InvokeStructInstance_MethodPointer_ArgDownCastToStruct,10.86133,7.223877,6.908997,7.634155,3.673828,3.636719
MethodBasePerformanceTest.InvokeStructInstance_MethodPointer_ArgUpCast,0.3452759,0.3040771,0.2870483,0.2480774,0.2890625,0.2675781
MethodBasePerformanceTest.InvokeStructInstance_MethodPointer_ArgUpCastFromStruct,11.81909,7.336792,6.910324,7.744629,4.951172,5.015625
MethodBasePerformanceTest.InvokeStructInstance_MethodPointer_ResultDownCast,10.45526,6.513489,6.335251,7.137939,3.490234,3.46875
MethodBasePerformanceTest.InvokeStructInstance_MethodPointer_ResultDownCastToStruct,10.44452,6.520447,6.346237,7.091583,3.417969,3.429688
MethodBasePerformanceTest.InvokeStructInstance_MethodPointer_ResultUpCast,0.3481445,0.3128052,0.2779694,0.2442932,0.2832031,0.2734375
MethodBasePerformanceTest.InvokeStructInstance_MethodPointer_ResultUpCastFromStruct,12.95093,7.597473,7.650055,8.269684,5.410156,5.515625
MethodBasePerformanceTest.InvokeStructInstance_MethodPointer_Virtual,10.80701,7.064453,6.724945,7.334717,3.304688,3.203125
TypePerformanceTest.ContainsGenericParameters_Fast,0.5078125,0.2653809,0.2700806,0.3033447,0.125,0.1210938
TypePerformanceTest.ContainsGenericParameters_Fast_Optimized,0.0960083,0.004943848,0.01046753,0.01339722,0.015625,0.015625
TypePerformanceTest.ContainsGenericParameters_Legacy,0.4563599,0.2653198,0.2728577,0.3048096,0.1132813,0.1054688
TypePerformanceTest.CreateClassInstance_Fast,3.811218,2.382874,2.437714,2.036835,2.382813,1.960938
TypePerformanceTest.CreateClassInstance_Legacy,4.797668,3.688538,3.93573,3.332123,2.679688,2.273438
TypePerformanceTest.CreateClassInstanceWithArg_Fast,3.534668,2.229065,2.371735,1.980042,2.375,2.25
TypePerformanceTest.CreateClassInstanceWithArg_Legacy,45.68329,33.68994,39.31155,37.48178,20.13281,17.13281
TypePerformanceTest.CreateStructInstance_Fast,0.03515625,0.003967285,0.009552002,0.009490967,0,0
TypePerformanceTest.CreateStructInstance_Legacy,0.04187012,0.004943848,0.009552002,0.00982666,6.039063,6.070313
TypePerformanceTest.CreateStructInstanceWithArg_Fast,3.798035,1.973511,1.931671,1.734161,1.34375,1.34375
TypePerformanceTest.CreateStructInstanceWithArg_Legacy,38.88531,30.16174,34.91702,33.65491,17.53906,17.28906
TypePerformanceTest.CreateStructInstanceWrapped_Fast,0.3996582,0.003967285,0.009735107,0.009613037,0.0078125,0.015625
TypePerformanceTest.CreateStructInstanceWrapped_Legacy,0.3852539,0.004760742,0.009735107,0.009857178,6.023438,6.007813
TypePerformanceTest.GetArrayRank_Fast,0.4466553,0.3013916,0.308136,0.3491516,0.1875,0.1835938
TypePerformanceTest.GetArrayRank_Fast_Optimized,0.09881592,0.004821777,0.01333618,0.0133667,0.015625,0.015625
TypePerformanceTest.GetArrayRank_Legacy,0.380127,0.3040771,0.3080444,0.3497009,0.1875,0.1835938
TypePerformanceTest.GetAssembly_Fast,0.5151978,0.4868774,0.489502,0.5856934,0.1679688,0.1484375
TypePerformanceTest.GetAssembly_Fast_Optimized,0.0736084,0.01159668,0.01013184,0.01358032,0.0234375,0.01171875
TypePerformanceTest.GetAssembly_Legacy,0.517334,0.4852295,0.4866028,0.5863037,0.1679688,0.1445313
TypePerformanceTest.GetAssemblyQualifiedName_Fast,16.65656,16.41754,16.16095,18.10837,10.21094,9.003906
TypePerformanceTest.GetAssemblyQualifiedName_Fast_Optimized,0.0960083,0.01159668,0.009613037,0.01339722,0.01953125,0.01171875
TypePerformanceTest.GetAssemblyQualifiedName_Legacy,16.4845,16.58484,16.07294,18.28445,10.27734,9.007813
TypePerformanceTest.GetAttributes_Fast,0.197876,0.09533691,0.1029053,0.1167603,0.08203125,0.0625
TypePerformanceTest.GetAttributes_Fast_Optimized,0.09844971,0.01165771,0.01348877,0.01358032,0.01953125,0.015625
TypePerformanceTest.GetAttributes_Legacy,0.1730347,0.09552002,0.1017456,0.112854,0.06640625,0.0546875
TypePerformanceTest.GetBaseType_Fast,0.7520752,0.4161987,0.4177856,0.4713135,0.2578125,0.2304688
TypePerformanceTest.GetBaseType_Fast_Optimized,0.09558105,0.01171875,0.009765625,0.01370239,0.0234375,0.01171875
TypePerformanceTest.GetBaseType_Legacy,0.6931763,0.4158936,0.4181213,0.4727783,0.2539063,0.234375
TypePerformanceTest.GetConstructor_ConstructorOf,0.6072998,0.5164185,0.5723267,0.5819702,0.1875,0.1796875
TypePerformanceTest.GetConstructor_Fast,1.152893,0.3231812,0.3039246,0.2957153,0.3671875,0.3671875
TypePerformanceTest.GetConstructor_Fast_Optimized,0.03991699,0.00390625,0.009490967,0.009735107,0.0078125,0.0078125
